Aioli,1,Kolla,0,Oljan och ägget måste vara rumstempererat vid tillagning.
Aioli,2,Tips,5,Skulle oljan och äggulan inte blanda sig kan man vispa ner ännu en äggula i det skurna.
Aioli,3,Pressa,2,Pressa vitlöksklyftor
Aioli,4,Vispa,3,Vispa äggulan tilsammans med pressade vitlöksklyftor i en matberedare.
Aioli,5,Krydda,1,Krydda med salt
Aioli,6,Häll,5,Häll sakta ner olivolja i en smal stråle under ständig omrörning.
Aioli,7,Rör,5,Rör tills det blir en tjock| blank majonnäs.
Aioli,8,Droppa,3,Droppa ner citronsaft och blanda väl.
Ambrosiakaka,1,Smörj,0,Smörj en mindre| rund form| helst med löstagbar botten. Bröa formen och sätt ugnen på 200°.
Ambrosiakaka,2,Vispa,0,Vispa ägg med socker till en pösig smet.
Ambrosiakaka,3,Smält,0,Smält smör och låt det svalna.
Ambrosiakaka,4,Blanda,0,Blanda vetemjöl och bakpulver.
Ambrosiakaka,5,Rör,0,Rör ner det avsvalnade smöret i äggsmeten. Sikta ner mjölblandningen och rör om försiktigt tills allt är väl blandat.
Ambrosiakaka,6,Häll,0,Häll i formen och sätt in i ugnen. Grädda ca 25 min.
Ambrosiakaka,7,Låt,0,Låt kakan stå och stelna till en stund efter att den är färdiggräddad. Stjälp sedan upp den.
Ambrosiakaka,8,Glasera,0,Glasera med florsocker utblandat i saften av en halv apelsin.
Ambrosiakaka,9,Strö,0,Strö sist på hackade| syltade apelsinskal.
Banankaka,1,Mosa,0,Mosa banan och rör dem med socker.
Banankaka,2,Tillsätt,0,Tillsätt ett uppvispat ägg| smält margarin och grädde.
Banankaka,3,Blanda,0,Blanda vetemjöl med vaniljsocker och bakpulver.
Banankaka,4,Rör,0,Rör ner det i smeten. Häll smeten i en smord och bröad form (1|5l). Grädda i 175° ca 40 min.
Banankaka,5,Låt,0,Låt kakan kallna. Blötlägg gelatinblad i kallt vatten.
Banankaka,6,Krama,0,Krama ur vattnet och lös upp dem i varm apelsinsaft.
Banankaka,7,Häll,0,Häll hälften i formen. Skiva banan och lägg vackert i geléet.
Banankaka,8,Häll,0,Häll på resten. Lägg i kakan. Ställ kallt. Doppa i hett vatten och stjälp upp.
Banankaka,9,Vispa,0,Vispa grädde och spritsa runt kanten.
Biff med bacon,1,Blanda,0,Blanda ströbröd och mjölk och låt det svälla minst 10 minuter. Lägg i köttfärs| ägg| salt| vitpeppar och rör smeten slät.
Biff med bacon,2,Blanda,0,Blanda i finhackad lök.
Biff med bacon,3,Forma,0,Forma 8 små biffar och vira en skiva bacon runt varje.
Biff med bacon,4,Bryn,0,Bryn i smör i en panna på svag värme i 5 minuter på varje
Biff med bacon,5,eller,0,eller efterstek i 175 grader i ugn ca 15 minuter.
Biff med bacon,6,Servera,0,Servera med ris eller pressad potatis eller potatismos efter tycke
Biff med bacon,7,plus,0,plus lite grönsaker som tex. ärtor morötter majs.
Biff rydberg,1,råskala,0,råskala potatis och skär i cm stora tärningar.
Biff rydberg,10,rör,0,rör om och skaka pannan. köttbitarna ska vara lätt rosa inuti.
Biff rydberg,11,5.Krydda,0,5.Krydda köttet under stekningen med salt| svartpeppar och några droppar worcestersås .
Biff rydberg,12,strö,0,strö hackad persilja över potatisen.
Biff rydberg,13,servera,0,servera omedelbart ev. med rå äggula som tillbehör.
Biff rydberg,14,svalt,0,svalt öl passar utmärkt till.
Biff rydberg,2,spola,0,spola dem en kort stund i rinnande kallt vatten. man får då bort en del av stärkelsen och förhindrar att potatisen kladdar ihop vid stekningen.
Biff rydberg,3,putsa,0,putsa oxfilé - helst spetsbiten -fritt från hinnor och fett. skär det i cm stora tärningar.
Biff rydberg,4,skala,0,skala och dela lök på längden. skär varje halva längs med i tunna skivor men så att den ändå håller ihop i rotändan. gör sedan ett par tvärsnitt varefter man slutligen skär rakt av.
Biff rydberg,5,bryn,0,bryn drygt hälften av smör. lägg i den väl avrunna potatisen och stek på ganska stark värme under ständig passning ca. 10min.
Biff rydberg,6,minska,0,minska värmen efter hand som potatisen får färg. låt löken steka med de sista 5 min.
Biff rydberg,7,smaksätt,0,smaksätt potatisen med salt och något peppar.
Biff rydberg,8,håll,0,håll potatisen varm under folie på uppläggningsfat.
Biff rydberg,9,stek,0,stek nu köttet i resten av smör i mycket het panna 1- 2min
Blodpudding special,1,Skala,0,Skala kärna ur och klyfta de äpplen.
Blodpudding special,2,Strimla,0,Strimla bacon tunt.
Blodpudding special,3,Fräs,0,Fräs baconet och ta upp det ur pannan. Spara baconfettet och
Blodpudding special,4,stek,0,stek äpplena i det tills de mjuknat och fått färg.
Blodpudding special,5,Hacka,0,Hacka färsk timjan fint.
Blodpudding special,6,Skiva,0,Skiva och stek blodpudding i smör så att den blir knaprig.
Blodpudding special,7,Strö,0,Strö timjan över äppelklyftorna och
Blodpudding special,8,servera,0,servera med lingon| gärna rårörda.
Blomkåls-Jansson,1,Smörj,0,Smörj en ugnssäker form med smör.
Blomkåls-Jansson,2,Lägg,0,Lägg i ansad blomkål i buketter| skalad och hackad lök| ansjovisfiléer (avrunnen| spara spadet) och bröd (smulat mjukt).
Blomkåls-Jansson,3,Blanda,0,Blanda grädde| vatten| ansjovisspad| salt och nymalen svartpeppar och häll alltsammans över.
Blomkåls-Jansson,4,Strö,0,Strö över mandel och riven västerbottensost.
Blomkåls-Jansson,5,Grädda,0,Grädda tills gratängen fått färg och blomkålen är mjuk| cirka 25 minuter.
Blomkålspuré,1,Koka,0,Koka ett blomkålshuvud.
Blomkålspuré,2,Kör,0,Kör huvudet i mixern| men tag rätt huvud| tillsammans med gräddfil och smör.
Blomkålspuré,3,Krydda,0,Krydda med salt och vitpeppar
Boeuf Bourguignon,1,Starta ugnen,0,Sätt ugnen på 175°C
Boeuf Bourguignon,10,Häll,0,Häll ner baconblandningen och syltlök i grytan och rör om försiktigt.
